Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numerical_integral/0.0/3.14159/1000,1760,0,31,32.71859073641033,28.191199991852045,276.8807001411915,8.0,9.867122228954145,0.0,31,32,32,33,34,36,56,65,160,280,280
,Aggregated,1760,0,31,32.71859073641033,28.191199991852045,276.8807001411915,8.0,9.867122228954145,0.0,31,32,32,33,34,36,56,65,160,280,280
