Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numerical_integral_fn?code=%3Cyour-function-key%3E&lower=0.0&upper=3.14159&N=1000,49013,0,43,50.366835411015984,31.15299999990384,1516.0668000007718,8.0,274.10624208400264,0.0,43,47,51,53,65,86,140,170,350,1500,1500
,Aggregated,49013,0,43,50.366835411015984,31.15299999990384,1516.0668000007718,8.0,274.10624208400264,0.0,43,47,51,53,65,86,140,170,350,1500,1500
